order_id,customer_id,region,category,age,income_usd,quantity,unit_price_usd,discount_pct,notes,junk_code
100236,1175,West,Sports,55.0,68404.0,1,28.82,10,ok,A0
100151,1535,West,Electronics,60.0,57044.0,3,46.39,0,ok,??
100329,1038,West,Clothing,15.0,81071.0,1,3.0,10,ok,??
100501,1280,North,Electronics,30.0,63320.0,7,50.84,15,ok,??
100793,1197,North,Sports,36.0,24502.0,7,27.77,0,manual,Z9
100230,1504,North,Electronics,25.0,80935.0,3,25.85,0,manual,??
100130,1347,North,Grocery,55.0,67161.0,7,29.65,0,ok,A0
100409,1047,North,Sports,51.0,50594.0,2,55.05,10,ok,Z9
100228,1183,West,Electronics,22.0,64083.0,7,30.26,0,ok,A0
100060,1069,East,Clothing,50.0,69405.0,5,38.78,15,ok,X1
100447,1553,South,Grocery,40.0,65330.0,3,61.9,10,ok,Z9
100896,1332,West,Sports,32.0,82075.0,7,21.79,0,,Z9
100244,1419,East,Home,45.0,73516.0,7,50.46,5,ok,??
100028,1588,East,Grocery,58.0,51002.0,5,44.09,10,ok,A0
100756,1150,West,Electronics,40.0,84268.0,4,77.02,5,ok,Z9
100554,1472,South,Home,14.0,78304.0,4,69.99,0,ok,Z9
100830,1147,North,Grocery,47.0,86293.0,4,75.04,0,ok,Z9
100134,1477,South,Electronics,37.0,56621.0,6,26.95,0,manual,A0
100792,1020,North,Home,39.0,53370.0,4,44.77,0,manual,A0
100462,1003,South,Home,38.0,67609.0,6,35.91,0,ok,??
100464,1375,North,Home,35.0,51904.0,6,44.33,0,,X1
100750,1245,West,Home,60.0,70595.0,2,53.44,10,ok,??
100556,1267,East,Grocery,21.0,15282.0,3,54.3,10,ok,A0
100694,1579,South,Home,31.0,76202.0,3,36.96,0,ok,Z9
100309,1360,East,Grocery,45.0,106006.0,2,49.29,5,ok,Z9
100583,1522,South,Grocery,-5.0,55912.0,7,10.53,15,ok,Z9
100133,1228,West,Clothing,33.0,84834.0,-2,48.54,0,ok,Z9
100879,1028,North,Grocery,13.0,71659.0,5,18.62,0,ok,??
100734,1145,East,electrnics,33.0,67971.0,4,38.12,10,ok,X1
100833,1290,West,Electronics,39.0,30625.0,5,40.65,0,ok,A0
100541,1036,West,Clothing,41.0,79092.0,1,63.56,15,ok,X1
100757,1422,West,Home,50.0,"26,219",2,56.25,10,ok,??
100421,1283,East,Sports,26.0,71128.0,7,62.14,5,ok,X1
100512,1012,South,Home,23.0,45620.0,6,69.79,0,manual,A0
100864,1420,North,Grocery,29.0,90868.0,5,21.54,20,,A0
100562,1091,East,Home,35.0,116360.0,6,31.46,0,ok,A0
100478,1282,North,Home,46.0,42190.0,6,38.23,0,review,??
100555,1453,South,Clothing,28.0,,7,79.52,0,ok,A0
100269,1419,South,Sports,42.0,68560.0,7,3.0,20,ok,X1
100568,1477,North,electrnics,24.0,76511.0,1,70.2,10,ok,X1
100295,1365,East,Sports,28.0,97921.0,5,55.21,0,ok,A0
100193,1431,South,Sports,46.0,72768.0,7,51.55,5,manual,X1
100594,1592,North,Electronics,43.0,58641.0,7,$25.58,10,ok,Z9
100748,1499,North,Sports,13.0,61212.0,3,33.99,0,ok,??
100772,1529,North,Home,,34151.0,3,32.7,5,ok,Z9
100443,1300,South,Grocery,47.0,42832.0,3,38.31,10,ok,A0
100199,1487,North,Clothing,34.0,58458.0,2,5.74,20,ok,A0
100356,1548,South,Home,47.0,69914.0,5,3.0,20,ok,X1
100011,1588,South,Electronics,46.0,107596.0,4,82.97,10,ok,A0
100316,1266,North,Electronics,34.0,99791.0,4,35.06,15,ok,A0
100586,1402,North,Sports,46.0,35682.0,7,42.12,15,ok,A0
100502,1036,North,Sports,39.0,65240.0,7,64.33,0,manual,??
100716,1269,West,Clothing,37.0,36491.0,2,59.21,5,ok,Z9
100361,1076,North,Clothing,46.0,64431.0,7,30.71,0,,X1
100863,1296,South,Grocery,,37350.0,4,36.28,15,ok,X1
100886,1110,South,Grocery,41.0,77007.0,2,31.9,0,ok,Z9
100601,1439,North,Sports,38.0,74027.0,7,47.0,5,review,X1
100293,1250,East,Grocery,22.0,43508.0,4,16.38,0,ok,X1
100207,1067,East,Sports,42.0,33807.0,6,46.71,10,review,A0
100012,1145,North,Home,31.0,75462.0,4,48.1,0,ok,A0
100138,1203,East,electrnics,35.0,112479.0,7,26.24,10,ok,X1
100121,1203,East,Grocery,49.0,43578.0,6,63.78,15,ok,X1
100059,1114,North,Home,29.0,63819.0,7,46.17,0,ok,??
100126,1137,East,Clothing,25.0,116925.0,2,4.78,10,ok,X1
100267,1005,West,Home,27.0,58073.0,6,50.79,10,ok,Z9
100610,1548,West,Clothing,45.0,57749.0,3,75.04,5,ok,A0
100577,1473,West,Clothing,56.0,72907.0,7,57.05,5,review,X1
100279,1018,South,Clothing,30.0,59377.0,2,31.81,0,manual,A0
100072,1564,North,Sports,18.0,77866.0,1,25.54,10,ok,Z9
100203,1168,West,Grocery,32.0,81965.0,4,65.85,0,ok,A0
100588,1381,North,Sports,19.0,98015.0,7,12.78,15,review,??
100370,1134,West,Home,10.0,78306.0,-2,38.06,0,ok,A0
100423,1453,West,Grocery,38.0,68314.0,1,62.61,0,ok,X1
100513,1206,East,Clothing,38.0,71242.0,5,51.56,0,ok,X1
100714,1014,South,Clothing,38.0,,7,51.43,20,ok,X1
100581,1259,West,Clothing,37.0,82725.0,4,71.69,0,review,Z9
100798,1091,South,Home,40.0,77688.0,3,68.4,0,review,A0
100500,1513,East,Electronics,45.0,67951.0,2,64.28,5,ok,Z9
100445,1192,East,Sports,17.0,102541.0,4,55.28,0,review,Z9
100358,1049,West,Grocery,31.0,86988.0,5,18.24,0,ok,??
100785,1438,East,Clothing,45.0,89996.0,2,43.02,10,ok,A0
100441,1195,West,Sports,64.0,87762.0,5,58.22,0,manual,??
100454,1174,East,Home,40.0,46636.0,7,50.81,0,review,X1
100023,1403,South,Home,43.0,66441.0,1,58.47,5,ok,A0
100247,1254,West,Electronics,59.0,35105.0,1,55.38,0,ok,Z9
100470,1113,West,Home,33.0,,1,21.04,0,ok,X1
100467,1448,West,Clothing,41.0,126335.0,2,85.02,10,review,A0
100275,1142,North,Electronics,43.0,66920.0,5,55.93,10,manual,A0
100472,1020,South,Electronics,57.0,78159.0,2,60.09,10,ok,Z9
100546,1494,North,Electronics,47.0,79439.0,5,44.33,10,ok,X1
100438,1004,East,Sports,29.0,72108.0,1,43.8,0,manual,??
100521,1328,South,Home,20.0,23100.0,1,75.59,0,ok,??
100300,1218,West,Home,27.0,39163.0,5,51.47,0,ok,??
100505,1310,North,Home,43.0,60322.0,3,51.1,0,ok,Z9
100819,1221,North,Home,24.0,75325.0,4,53.76,10,ok,A0
100148,1138,West,Electronics,30.0,93843.0,3,56.72,5,ok,Z9
100419,1140,South,Electronics,29.0,73409.0,7,30.45,15,review,X1
100388,1466,East,Home,29.0,69151.0,5,12.42,0,ok,X1
100426,1440,East,Clothing,39.0,74000.0,4,,5,ok,Z9
100456,1389,South,Grocery,47.0,86794.0,1,50.12,0,ok,??
100349,1335,North,Home,47.0,53706.0,5,63.84,0,ok,X1
100504,1120,West,Grocery,50.0,"60,856",3,45.52,0,ok,??
100386,1324,West,Home,29.0,83970.0,6,40.96,20,manual,A0
100839,1146,North,Grocery,21.0,78617.0,7,53.35,0,ok,X1
100780,1050,South,Grocery,64.0,82813.0,7,3.0,0,ok,??
100565,1060,West,Clothing,45.0,52300.0,7,18.79,0,ok,A0
100728,1466,South,Grocery,46.0,59844.0,2,22.4,0,ok,Z9
